Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,128.000000,159.000000,126.500000,150.000000,147.010925,4000350
2018-03-01,159.500000,160.800003,134.500000,140.500000,137.700211,3482360
2018-04-01,139.500000,179.500000,139.500000,174.500000,171.242935,3346240
2018-05-01,174.000000,176.000000,143.500000,148.000000,145.237549,3629970
2018-06-01,148.500000,175.500000,142.500000,159.000000,156.032227,3040710
2018-07-01,158.500000,178.500000,152.000000,163.000000,160.176208,3206210
2018-08-01,167.000000,195.500000,155.000000,190.500000,187.199844,4783470
2018-09-01,190.500000,214.500000,186.699997,205.000000,201.448639,4101890
2018-10-01,205.399994,206.000000,174.199997,192.600006,190.840820,4179610
2018-11-01,192.600006,198.800003,130.399994,136.500000,135.253235,4484630
2018-12-01,138.500000,154.399994,116.599998,122.800003,121.678368,2685030
2019-01-01,120.099998,147.500000,119.000000,146.500000,145.360611,2103930
2019-02-01,145.199997,145.899994,128.199997,140.300003,139.208832,2658720
2019-03-01,156.600006,165.000000,141.500000,148.500000,147.345032,4044160
2019-04-01,149.500000,170.699997,145.300003,151.600006,150.624481,3304970
2019-05-01,151.500000,153.000000,117.099998,119.800003,119.029106,4136480
2019-06-01,119.400002,120.800003,92.800003,93.300003,92.699638,4817910
2019-07-01,98.500000,119.800003,87.300003,118.300003,117.751114,6801140
2019-08-01,117.000000,124.900002,104.599998,111.099998,110.584511,5908840
2019-09-01,111.900002,121.300003,104.400002,107.000000,106.503540,3771660
2019-10-01,107.500000,109.500000,87.800003,93.699997,93.420692,5219300
2019-11-01,94.500000,103.500000,74.699997,81.800003,81.556175,7752300
2019-12-01,82.400002,87.800003,71.500000,72.400002,72.355858,7275420
2020-01-01,73.000000,76.000000,62.500000,65.199997,65.160240,6608580
2020-02-01,65.000000,77.800003,51.200001,62.599998,62.561829,5801730
2020-03-01,63.099998,63.200001,19.500000,31.600000,31.580732,12318290
2020-04-01,30.000000,55.299999,19.500000,49.200001,49.200001,23082170
2020-05-01,46.200001,64.099998,38.099998,51.299999,51.299999,22659740
2020-06-01,50.299999,73.500000,37.500000,42.900002,42.900002,17007920
2020-07-01,42.599998,48.200001,38.099998,40.400002,40.400002,8177990
2020-08-01,40.500000,71.000000,38.599998,58.799999,58.799999,19674440
2020-09-01,57.900002,77.099998,43.599998,47.099998,47.099998,14228780
2020-10-01,47.799999,48.000000,22.799999,23.600000,23.600000,25042970
2020-11-01,23.000000,50.000000,21.100000,42.700001,42.700001,56334630
2020-12-01,44.299999,44.299999,20.799999,21.200001,21.200001,61387880
2021-01-01,22.000000,203.600006,19.100000,132.600006,132.600006,461926050
2021-02-01,170.000000,172.500000,52.599998,80.099998,80.099998,363385340
2021-03-01,88.599998,145.399994,75.000000,102.099998,102.099998,247359070
2021-04-01,102.300003,122.199997,83.099998,100.300003,100.300003,93774920
2021-05-01,101.099998,367.200012,89.300003,261.200012,261.200012,342906800
2021-06-01,318.899994,726.200012,285.299988,566.799988,566.799988,552009010
2021-07-01,568.599976,577.099976,311.500000,370.200012,370.200012,207826270
2021-08-01,375.799988,483.000000,289.100006,471.299988,471.299988,202968870
2021-09-01,471.600006,527.900024,337.399994,380.600006,380.600006,140000590
2021-10-01,394.100006,444.399994,345.299988,353.700012,353.700012,81216040
2021-11-01,356.500000,459.500000,327.500000,339.399994,339.399994,73126990
2021-12-01,347.100006,349.399994,208.000000,272.000000,272.000000,119254890
2022-01-01,274.200012,281.299988,134.000000,160.600006,160.600006,96772890
2022-02-01,181.500000,209.600006,146.500000,188.600006,188.600006,98367720
2022-03-01,190.000000,343.299988,129.000000,246.399994,246.399994,151744010
2022-04-01,251.300003,252.800003,147.000000,153.000000,153.000000,71012450
2022-05-01,151.000000,161.300003,97.000000,143.399994,143.399994,106887090
2022-06-01,140.100006,147.500000,110.900002,135.500000,135.500000,82007240
2022-07-01,134.800003,183.699997,121.599998,145.600006,145.600006,71300270
2022-08-01,143.300003,275.000000,86.800003,91.199997,91.199997,144542260
2022-09-01,90.300003,107.500000,68.099998,69.699997,69.699997,54883410
2022-10-01,68.400002,81.300003,54.700001,66.599998,66.599998,47378160
2022-11-01,67.599998,83.500000,50.500000,72.300003,72.300003,55740010
2022-12-01,72.900002,91.500000,38.099998,40.700001,40.700001,66011810
