Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,19.850000,24.000000,19.059999,21.100000,21.100000,19843300
2018-03-01,21.150000,21.549999,19.000000,19.200001,19.200001,19924500
2018-04-01,19.049999,24.049999,19.049999,23.200001,23.200001,13821700
2018-05-01,24.000000,24.379999,20.750000,20.900000,20.900000,15927900
2018-06-01,20.950001,23.600000,20.350000,22.150000,22.150000,12324500
2018-07-01,22.000000,24.000000,21.049999,22.100000,22.100000,15543500
2018-08-01,22.100000,25.250000,21.549999,23.500000,23.500000,13429000
2018-09-01,23.350000,26.100000,23.250000,25.799999,25.799999,9406300
2018-10-01,25.930000,25.930000,18.850000,19.360001,19.360001,16833800
2018-11-01,19.490000,20.430000,18.129999,18.559999,18.559999,14253300
2018-12-01,18.559999,19.910000,17.549999,18.809999,18.809999,10000900
2019-01-01,18.530001,21.410000,18.420000,20.770000,20.770000,8214100
2019-02-01,20.760000,23.750000,20.100000,22.910000,22.910000,7799000
2019-03-01,23.040001,23.820000,22.020000,22.680000,22.680000,6851700
2019-04-01,22.820000,25.510000,21.770000,24.379999,24.379999,9814700
2019-05-01,24.430000,25.750000,21.690001,21.760000,21.760000,9111900
2019-06-01,21.719999,21.980000,18.940001,20.200001,20.200001,9320700
2019-07-01,20.500000,22.110001,19.820000,21.950001,21.950001,8383900
2019-08-01,21.940001,22.030001,20.230000,20.920000,20.920000,5952700
2019-09-01,20.820000,22.879999,20.570000,21.950001,21.950001,5238300
2019-10-01,22.010000,22.430000,20.410000,21.350000,21.350000,5329400
2019-11-01,21.879999,22.330000,20.549999,21.500000,21.500000,4878300
2019-12-01,21.559999,22.350000,20.030001,20.430000,20.430000,5432600
2020-01-01,20.389999,21.000000,16.290001,16.540001,16.540001,10836800
2020-02-01,16.629999,18.080000,14.800000,15.580000,15.580000,18990100
2020-03-01,15.690000,15.920000,6.010000,9.050000,9.050000,41041600
2020-04-01,8.830000,12.900000,8.250000,11.500000,11.500000,28573600
2020-05-01,11.030000,13.500000,10.630000,12.610000,12.610000,18428600
2020-06-01,12.580000,14.410000,10.310000,11.210000,11.210000,25914900
2020-07-01,11.200000,13.780000,10.520000,11.290000,11.290000,24701400
2020-08-01,11.280000,16.100000,11.000000,15.370000,15.370000,18687900
2020-09-01,15.400000,16.120001,11.590000,11.960000,11.960000,19985300
2020-10-01,12.200000,12.200000,10.500000,11.530000,11.530000,15900600
2020-11-01,11.630000,16.309999,10.810000,14.830000,14.830000,16609300
2020-12-01,14.930000,18.870001,14.110000,18.020000,18.020000,21959100
2021-01-01,18.080000,20.209999,17.110001,18.900000,18.900000,18179800
2021-02-01,19.270000,21.280001,17.410000,20.670000,20.670000,13204500
2021-03-01,21.090000,25.049999,19.180000,20.100000,20.100000,33760800
2021-04-01,20.440001,22.600000,20.309999,20.620001,20.620001,16814900
2021-05-01,20.969999,23.570000,19.580000,21.610001,21.610001,14395100
2021-06-01,21.629999,23.540001,20.639999,21.500000,21.500000,16174200
2021-07-01,21.549999,22.100000,15.880000,16.139999,16.139999,14577800
2021-08-01,16.209999,16.639999,13.600000,15.710000,15.710000,17428900
2021-09-01,15.790000,19.150000,15.150000,18.980000,18.980000,14648200
2021-10-01,19.170000,22.100000,18.379999,18.850000,18.850000,16645800
2021-11-01,19.000000,21.240000,16.010000,16.490000,16.490000,12952500
2021-12-01,17.070000,18.730000,15.850000,17.840000,17.840000,11389500
2022-01-01,17.980000,20.139999,15.660000,17.250000,17.250000,10725700
2022-02-01,17.570000,21.250000,16.930000,20.680000,20.680000,12322600
2022-03-01,20.540001,20.879999,16.510000,18.930000,18.930000,13400700
2022-04-01,19.200001,19.200001,14.000000,15.820000,15.820000,14114000
2022-05-01,15.800000,17.760000,14.480000,17.320000,17.320000,13642900
2022-06-01,17.240000,17.530001,14.800000,16.889999,16.889999,11693400
2022-07-01,16.900000,18.180000,15.150000,16.809999,16.809999,8031200
2022-08-01,16.740000,17.580000,15.010000,15.680000,15.680000,11251700
2022-09-01,15.590000,16.459999,13.440000,14.120000,14.120000,11728200
2022-10-01,14.290000,15.260000,12.590000,12.730000,12.730000,13562300
2022-11-01,12.640000,16.980000,12.130000,16.889999,16.889999,17152000
2022-12-01,16.950001,18.100000,13.500000,14.660000,14.660000,20897000
